time	X
0.0	100.0
1.0	89.0
2.0	103.0
3.0	100.0
4.0	96.0
5.0	100.0
6.0	102.0
7.0	96.0
8.0	100.0
9.0	103.0
10.0	108.0
11.0	110.0
12.0	111.0
13.0	111.0
14.0	108.0
15.0	111.0
16.0	116.0
17.0	114.0
18.0	118.0
19.0	116.0
20.0	109.0
21.0	117.0
22.0	111.0
23.0	112.0
24.0	115.0
25.0	105.0
26.0	106.0
27.0	103.0
28.0	101.0
29.0	97.0
30.0	99.0
31.0	95.0
32.0	90.0
33.0	89.0
34.0	84.0
35.0	78.0
36.0	70.0
37.0	71.0
38.0	72.0
39.0	74.0
40.0	79.0
41.0	75.0
42.0	75.0
43.0	71.0
44.0	74.0
45.0	68.0
46.0	73.0
47.0	65.0
48.0	65.0
49.0	65.0
50.0	63.0
0.0	100.0
1.0	94.0
2.0	91.0
3.0	84.0
4.0	84.0
5.0	84.0
6.0	81.0
7.0	85.0
8.0	85.0
9.0	83.0
10.0	86.0
11.0	80.0
12.0	78.0
13.0	73.0
14.0	67.0
15.0	66.0
16.0	66.0
17.0	67.0
18.0	59.0
19.0	59.0
20.0	52.0
21.0	53.0
22.0	53.0
23.0	47.0
24.0	47.0
25.0	45.0
26.0	44.0
27.0	41.0
28.0	43.0
29.0	42.0
30.0	43.0
31.0	38.0
32.0	36.0
33.0	37.0
34.0	37.0
35.0	34.0
36.0	32.0
37.0	31.0
38.0	33.0
39.0	32.0
40.0	37.0
41.0	37.0
42.0	34.0
43.0	33.0
44.0	33.0
45.0	33.0
46.0	32.0
47.0	30.0
48.0	28.0
49.0	25.0
50.0	25.0
0.0	100.0
1.0	97.0
2.0	89.0
3.0	89.0
4.0	95.0
5.0	91.0
6.0	92.0
7.0	98.0
8.0	93.0
9.0	96.0
10.0	89.0
11.0	96.0
12.0	95.0
13.0	92.0
14.0	89.0
15.0	86.0
16.0	84.0
17.0	85.0
18.0	77.0
19.0	78.0
20.0	75.0
21.0	74.0
22.0	74.0
23.0	73.0
24.0	63.0
25.0	53.0
26.0	54.0
27.0	50.0
28.0	52.0
29.0	49.0
30.0	50.0
31.0	48.0
32.0	43.0
33.0	44.0
34.0	48.0
35.0	47.0
36.0	45.0
37.0	46.0
38.0	49.0
39.0	48.0
40.0	52.0
41.0	51.0
42.0	49.0
43.0	51.0
44.0	50.0
45.0	48.0
46.0	50.0
47.0	50.0
48.0	52.0
49.0	53.0
50.0	55.0
0.0	100.0
1.0	99.0
2.0	92.0
3.0	93.0
4.0	88.0
5.0	89.0
6.0	87.0
7.0	80.0
8.0	80.0
9.0	77.0
10.0	71.0
11.0	71.0
12.0	74.0
13.0	69.0
14.0	73.0
15.0	76.0
16.0	68.0
17.0	71.0
18.0	71.0
19.0	67.0
20.0	70.0
21.0	70.0
22.0	65.0
23.0	62.0
24.0	64.0
25.0	60.0
26.0	65.0
27.0	63.0
28.0	59.0
29.0	55.0
30.0	55.0
31.0	58.0
32.0	68.0
33.0	59.0
34.0	56.0
35.0	54.0
36.0	58.0
37.0	53.0
38.0	51.0
39.0	47.0
40.0	40.0
41.0	43.0
42.0	47.0
43.0	45.0
44.0	47.0
45.0	46.0
46.0	46.0
47.0	48.0
48.0	46.0
49.0	51.0
50.0	51.0
0.0	100.0
1.0	99.0
2.0	98.0
3.0	97.0
4.0	101.0
5.0	97.0
6.0	93.0
7.0	90.0
8.0	84.0
9.0	82.0
10.0	78.0
11.0	81.0
12.0	78.0
13.0	75.0
14.0	74.0
15.0	77.0
16.0	76.0
17.0	75.0
18.0	72.0
19.0	68.0
20.0	69.0
21.0	66.0
22.0	62.0
23.0	64.0
24.0	68.0
25.0	63.0
26.0	60.0
27.0	58.0
28.0	58.0
29.0	57.0
30.0	49.0
31.0	49.0
32.0	45.0
33.0	43.0
34.0	41.0
35.0	38.0
36.0	43.0
37.0	40.0
38.0	40.0
39.0	42.0
40.0	39.0
41.0	39.0
42.0	40.0
43.0	39.0
44.0	38.0
45.0	41.0
46.0	39.0
47.0	40.0
48.0	40.0
49.0	44.0
50.0	41.0
0.0	100.0
1.0	96.0
2.0	96.0
3.0	91.0
4.0	89.0
5.0	86.0
6.0	87.0
7.0	85.0
8.0	80.0
9.0	73.0
10.0	66.0
11.0	73.0
12.0	73.0
13.0	74.0
14.0	73.0
15.0	73.0
16.0	79.0
17.0	80.0
18.0	80.0
19.0	79.0
20.0	73.0
21.0	75.0
22.0	70.0
23.0	65.0
24.0	63.0
25.0	62.0
26.0	62.0
27.0	58.0
28.0	59.0
29.0	56.0
30.0	56.0
31.0	51.0
32.0	52.0
33.0	51.0
34.0	55.0
35.0	55.0
36.0	60.0
37.0	63.0
38.0	64.0
39.0	64.0
40.0	59.0
41.0	53.0
42.0	50.0
43.0	50.0
44.0	49.0
45.0	51.0
46.0	52.0
47.0	52.0
48.0	53.0
49.0	53.0
50.0	54.0
0.0	100.0
1.0	104.0
2.0	102.0
3.0	92.0
4.0	83.0
5.0	75.0
6.0	84.0
