
[[  0.         100.        ]
 [  1.          98.70707071]
 [  2.          97.75757576]
 [  3.          96.61616162]
 [  4.          95.58585859]
 [  5.          94.28282828]
 [  6.          93.07070707]
 [  7.          91.53535354]
 [  8.          90.4040404 ]
 [  9.          90.03030303]
 [ 10.          89.66666667]
 [ 11.          89.18181818]
 [ 12.          87.90909091]
 [ 13.          87.71717172]
 [ 14.          86.8989899 ]
 [ 15.          86.13131313]
 [ 16.          84.81818182]
 [ 17.          84.27272727]
 [ 18.          83.65656566]
 [ 19.          82.46464646]
 [ 20.          81.        ]
 [ 21.          79.94949495]
 [ 22.          78.49494949]
 [ 23.          77.72727273]
 [ 24.          77.16161616]
 [ 25.          76.22222222]
 [ 26.          76.45454545]
 [ 27.          75.47474747]
 [ 28.          74.39393939]
 [ 29.          73.39393939]
 [ 30.          72.80808081]
 [ 31.          72.46464646]
 [ 32.          71.77777778]
 [ 33.          70.78787879]
 [ 34.          70.03030303]
 [ 35.          69.97979798]
 [ 36.          69.18181818]
 [ 37.          68.28282828]
 [ 38.          67.33333333]
 [ 39.          65.86868687]
 [ 40.          64.96969697]
 [ 41.          64.47474747]
 [ 42.          63.64646465]
 [ 43.          63.13131313]
 [ 44.          62.43434343]
 [ 45.          61.41414141]
 [ 46.          61.15151515]
 [ 47.          60.15151515]
 [ 48.          59.57575758]
 [ 49.          58.74747475]
 [ 50.          58.42424242]]

[[ 0.          0.        ]
 [ 0.          4.43870152]
 [ 0.          6.79139519]
 [ 0.          8.42519918]
 [ 0.          9.92498134]
 [ 0.         10.63350945]
 [ 0.         11.63437308]
 [ 0.         11.35320284]
 [ 0.         11.64883416]
 [ 0.         12.6342924 ]
 [ 0.         12.35910493]
 [ 0.         11.98177373]
 [ 0.         12.79764097]
 [ 0.         13.69880951]
 [ 0.         13.95772474]
 [ 0.         15.72403838]
 [ 0.         16.47548754]
 [ 0.         16.71678415]
 [ 0.         17.20004793]
 [ 0.         17.92425879]
 [ 0.         18.37213525]
 [ 0.         18.1148824 ]
 [ 0.         18.29907197]
 [ 0.         18.70116843]
 [ 0.         18.43838063]
 [ 0.         18.22283813]
 [ 0.         17.73729321]
 [ 0.         17.89833435]
 [ 0.         18.11680295]
 [ 0.         18.92132471]
 [ 0.         19.06537226]
 [ 0.         19.6670843 ]
 [ 0.         19.81304313]
 [ 0.         19.94450519]
 [ 0.         19.71435131]
 [ 0.         20.49044113]
 [ 0.         21.20051631]
 [ 0.         21.18797086]
 [ 0.         21.15121125]
 [ 0.         21.1734761 ]
 [ 0.         21.79957119]
 [ 0.         21.49481659]
 [ 0.         21.8453301 ]
 [ 0.         22.53600776]
 [ 0.         22.08439351]
 [ 0.         22.09392718]
 [ 0.         22.18032782]
 [ 0.         22.05198799]
 [ 0.         22.86680401]
 [ 0.         23.48192661]
 [ 0.         23.44220958]]
